label,category,manhattan+chi-squared_topk_pct,manhattan+emd_topk_pct,manhattan+kullback-leibler_topk_pct
Biplane/m1136_rm.obj,Biplane,30.0,20.0,30.0
Biplane/D00634_rm.obj,Biplane,10.0,20.0,10.0
Biplane/m1122_rm.obj,Biplane,20.0,20.0,10.0
Biplane/m1125_rm.obj,Biplane,20.0,30.0,20.0
Biplane/m1139_rm.obj,Biplane,20.0,10.0,40.0
Biplane/m1137_rm.obj,Biplane,10.0,10.0,20.0
Biplane/m1121_rm.obj,Biplane,60.0,60.0,80.0
Bird/D00113_rm.obj,Bird,0.0,10.0,10.0
Bird/D00089_rm.obj,Bird,30.0,10.0,30.0
Biplane/m1127_rm.obj,Biplane,60.0,40.0,50.0
Biplane/m1134_rm.obj,Biplane,0.0,0.0,10.0
Biplane/m1131_rm.obj,Biplane,90.0,50.0,90.0
Biplane/m1128_rm.obj,Biplane,50.0,40.0,70.0
Biplane/m1133_rm.obj,Biplane,80.0,70.0,100.0
Bird/D00234_rm.obj,Bird,10.0,10.0,10.0
Biplane/m1129_rm.obj,Biplane,50.0,50.0,80.0
Bird/D00386_rm.obj,Bird,20.0,0.0,20.0
Bird/D00546_rm.obj,Bird,0.0,0.0,10.0
Biplane/m1144_rm.obj,Biplane,70.0,60.0,80.0
Biplane/m1138_rm.obj,Biplane,10.0,30.0,30.0
Bird/D00625_rm.obj,Bird,40.0,20.0,50.0
Biplane/m1143_rm.obj,Biplane,30.0,20.0,30.0
Bird/D00762_rm.obj,Bird,10.0,20.0,20.0
Biplane/m1146_rm.obj,Biplane,10.0,10.0,10.0
Bird/D00862_rm.obj,Bird,20.0,0.0,40.0
Bird/D00164_rm.obj,Bird,10.0,20.0,30.0
Bird/D00922_rm.obj,Bird,10.0,20.0,20.0
Bird/D00999_rm.obj,Bird,30.0,30.0,40.0
Biplane/m1135_rm.obj,Biplane,40.0,20.0,40.0
Bird/m29_rm.obj,Bird,10.0,0.0,10.0
Bird/D00323_rm.obj,Bird,0.0,0.0,0.0
Bird/m31_rm.obj,Bird,0.0,0.0,0.0
Biplane/m1141_rm.obj,Biplane,50.0,30.0,50.0
Bird/m32_rm.obj,Bird,0.0,0.0,10.0
Bird/m34_rm.obj,Bird,30.0,10.0,40.0
Bird/m33_rm.obj,Bird,0.0,0.0,0.0
Bird/m36_rm.obj,Bird,10.0,10.0,10.0
Bird/m35_rm.obj,Bird,0.0,0.0,0.0
Bird/D00736_rm.obj,Bird,30.0,30.0,30.0
Bird/m37_rm.obj,Bird,10.0,20.0,30.0
Bird/D00961_rm.obj,Bird,40.0,30.0,50.0
Bird/m44_rm.obj,Bird,0.0,10.0,10.0
Bird/D00442_rm.obj,Bird,10.0,30.0,20.0
Bird/D00271_rm.obj,Bird,20.0,20.0,20.0
Bird/D00284_rm.obj,Bird,40.0,20.0,30.0
Bird/D00438_rm.obj,Bird,40.0,30.0,50.0
Bird/m30_rm.obj,Bird,0.0,0.0,0.0
Bird/m45_rm.obj,Bird,40.0,20.0,40.0
Bird/D00599_rm.obj,Bird,50.0,30.0,60.0
Bird/m47_rm.obj,Bird,30.0,0.0,40.0
Bird/m49_rm.obj,Bird,0.0,0.0,0.0
Bird/m50_rm.obj,Bird,20.0,10.0,10.0
Bird/m51_rm.obj,Bird,20.0,10.0,20.0
Bird/m52_rm.obj,Bird,0.0,0.0,0.0
Bookset/D01013_rm.obj,Bookset,20.0,50.0,30.0
Bird/D00689_rm.obj,Bird,30.0,10.0,40.0
Bookset/D01030_rm.obj,Bookset,20.0,40.0,40.0
Bird/m38_rm.obj,Bird,30.0,20.0,30.0
Bird/m39_rm.obj,Bird,10.0,10.0,10.0
Bookset/D01050_rm.obj,Bookset,10.0,10.0,10.0
Bookset/D01065_rm.obj,Bookset,20.0,30.0,20.0
Bird/m43_rm.obj,Bird,10.0,0.0,10.0
Bird/m42_rm.obj,Bird,0.0,0.0,10.0
Bird/m28_rm.obj,Bird,10.0,0.0,10.0
Bookset/D01110_rm.obj,Bookset,10.0,10.0,10.0
Bookset/D01122_rm.obj,Bookset,0.0,0.0,0.0
Bookset/D01146_rm.obj,Bookset,10.0,10.0,10.0
Bird/m48_rm.obj,Bird,20.0,10.0,20.0
Bookset/D01182_rm.obj,Bookset,20.0,40.0,20.0
Bookset/D01009_rm.obj,Bookset,0.0,10.0,10.0
